species,lifestage,url,shp_comp
gaggrouper,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/gaggrouper_2025/FeatureServer/4,spatial_data
gaggrouper,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/gaggrouper_2025/FeatureServer/5,spatial_data
gaggrouper,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/gaggrouper_2025/FeatureServer/6,spatial_data
goldfacetilefish,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goldfacetilefish_2025/FeatureServer/0,blank
goldfacetilefish,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goldfacetilefish_2025/FeatureServer/1,blank
goldfacetilefish,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goldfacetilefish_2025/FeatureServer/2,blank
goldfacetilefish,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goldfacetilefish_2025/FeatureServer/3,blank
goldfacetilefish,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goldfacetilefish_2025/FeatureServer/4,blank
goldfacetilefish,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goldfacetilefish_2025/FeatureServer/5,spatial_data
goldfacetilefish,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goldfacetilefish_2025/FeatureServer/6,blank
goliathgrouper,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goliathgrouper_2025/FeatureServer/0,spatial_data
goliathgrouper,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goliathgrouper_2025/FeatureServer/1,spatial_data
goliathgrouper,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goliathgrouper_2025/FeatureServer/2,spatial_data
goliathgrouper,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goliathgrouper_2025/FeatureServer/3,spatial_data
goliathgrouper,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goliathgrouper_2025/FeatureServer/4,spatial_data
goliathgrouper,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/goliathgrouper_2025/FeatureServer/5,spatial_data
