"species","lifestage","habitatzone","habitattype","ecoregion","shapefile_name","pretty_name"
"bluelinetilefish","adult","off","shelf","er2","shelf_off_er2","ER2 Offshore Shelf/Slope Edge"
"bluelinetilefish","spawningadult","off","shelf","er1","shelf_off_er1","ER1 Offshore Shelf/Slope Edge"
"bluelinetilefish","spawningadult","off","shelf","er2","shelf_off_er2","ER2 Offshore Shelf/Slope Edge"
"brownshrimp","egg","off","sb","er3","sb_off_er3","ER3 Offshore Soft Bottom"
"brownshrimp","egg","off","sb","er4","sb_off_er4","ER4 Offshore Soft Bottom"
"brownshrimp","egg","off","sb","er5","sb_off_er5","ER5 Offshore Soft Bottom"
"brownshrimp","larvae","est","wca","er3","wca_est_er3","ER3 Estuarine WCA"
"brownshrimp","larvae","est","wca","er4","wca_est_er4","ER4 Estuarine WCA"
"brownshrimp","larvae","est","wca","er5","wca_est_er5","ER5 Estuarine WCA"
"brownshrimp","larvae","near","wca","er3","wca_near_er3","ER3 Nearshore WCA"
"brownshrimp","larvae","near","wca","er4","wca_near_er4","ER4 Nearshore WCA"
"brownshrimp","larvae","near","wca","er5","wca_near_er5","ER5 Nearshore WCA"
"brownshrimp","larvae","off","wca","er3","wca_off_er3","ER3 Offshore WCA"
"brownshrimp","larvae","off","wca","er4","wca_off_er4","ER4 Offshore WCA"
"brownshrimp","larvae","off","wca","er5","wca_off_er5","ER5 Offshore WCA"
"brownshrimp","postlarvae","est","sav","er3","sav_est_er3","ER3 Estuarine SAV"
"brownshrimp","postlarvae","est","sav","er4","sav_est_er4","ER4 Estuarine SAV"
"brownshrimp","postlarvae","est","sav","er5","sav_est_er5","ER5 Estuarine SAV"
"brownshrimp","postlarvae","est","em","er3","em_est_er3","ER3 Estuarine Emergent Marsh"
"brownshrimp","postlarvae","est","em","er4","em_est_er4","ER4 Estuarine Emergent Marsh"
"brownshrimp","postlarvae","est","em","er5","em_est_er5","ER5 Estuarine Emergent Marsh"
"brownshrimp","postlarvae","est","oyster","er3","oyster_est_er3","ER3 Estuarine Oyster Reef"
"brownshrimp","postlarvae","est","oyster","er4","oyster_est_er4","ER4 Estuarine Oyster Reef"
"brownshrimp","postlarvae","est","oyster","er5","oyster_est_er5","ER5 Estuarine Oyster Reef"
"brownshrimp","postlarvae","est","sb","er3","sb_est_er3","ER3 Estuarine Soft Bottom"
"brownshrimp","postlarvae","est","sb","er4","sb_est_er4","ER4 Estuarine Soft Bottom"
"brownshrimp","postlarvae","est","sb","er5","sb_est_er5","ER5 Estuarine Soft Bottom"
"brownshrimp","earlyjuvenile","est","sav","er3","sav_est_er3","ER3 Estuarine SAV"
"brownshrimp","earlyjuvenile","est","sav","er4","sav_est_er4","ER4 Estuarine SAV"
"brownshrimp","earlyjuvenile","est","sav","er5","sav_est_er5","ER5 Estuarine SAV"
"brownshrimp","earlyjuvenile","est","em","er3","em_est_er3","ER3 Estuarine Emergent Marsh"
"brownshrimp","earlyjuvenile","est","em","er4","em_est_er4","ER4 Estuarine Emergent Marsh"
"brownshrimp","earlyjuvenile","est","em","er5","em_est_er5","ER5 Estuarine Emergent Marsh"
"brownshrimp","earlyjuvenile","est","oyster","er3","oyster_est_er3","ER3 Estuarine Oyster Reef"
"brownshrimp","earlyjuvenile","est","oyster","er4","oyster_est_er4","ER4 Estuarine Oyster Reef"
"brownshrimp","earlyjuvenile","est","oyster","er5","oyster_est_er5","ER5 Estuarine Oyster Reef"
"brownshrimp","earlyjuvenile","est","sb","er3","sb_est_er3","ER3 Estuarine Soft Bottom"
"brownshrimp","earlyjuvenile","est","sb","er4","sb_est_er4","ER4 Estuarine Soft Bottom"
"brownshrimp","earlyjuvenile","est","sb","er5","sb_est_er5","ER5 Estuarine Soft Bottom"
"brownshrimp","latejuvenile","est","sav","er3","sav_est_er3","ER3 Estuarine SAV"
"brownshrimp","latejuvenile","est","sav","er4","sav_est_er4","ER4 Estuarine SAV"
"brownshrimp","latejuvenile","est","sav","er5","sav_est_er5","ER5 Estuarine SAV"
